feature,importance,source
det_speed_accel_jerk_abs_mean,0.0016088332083868267,random_forest
flow_dy_accel_last,0.0016064152931177674,random_forest
det_dx_peak_to_mean,0.001598583838648347,random_forest
det_speed_abs_max,0.001598126157013033,random_forest
roi_height_last,0.0015696512239459475,random_forest
det_vx_norm_per_sec_slope_first_last,0.0015682405882996924,random_forest
flow_mag_mean_time_to_abs_peak,0.0015661360264460533,random_forest
det_speed_accel_jerk_p75,0.001562239650746856,random_forest
flow_mag_median_time_to_abs_peak,0.0015474301983328606,random_forest
roi_height_abs_max,0.0015231912398061037,random_forest
det_vy_accel_jerk_signed_auc,0.0015152010720229894,random_forest
det_speed_accel_jerk_min,0.001513619543467929,random_forest
flow_dx_norm_per_sec_p10,0.0015133860513289181,random_forest
det_speed_accel_jerk_mean,0.0015027534454225772,random_forest
flow_mag_max_abs_mean,0.0015008713019315353,random_forest
det_speed_min,0.0015007377224565798,random_forest
conf_a_p90,0.001499915763581885,random_forest
flow_mag_max_signed_auc,0.0014956084590628648,random_forest
flow_mag_accel_jerk_range,0.001492081927926422,random_forest
det_vy_accel_jerk_std,0.0014903221316200778,random_forest
flow_mag_accel_time_to_abs_peak,0.0014887744549435462,random_forest
flow_mag_std_p90,0.0014886964805178341,random_forest
det_speed_accel_jerk_delta,0.001479587750637866,random_forest
det_vy_accel_p75,0.0014779165628401219,random_forest
det_vx_norm_per_sec_energy,0.0014746723875814656,random_forest
flow_mag_accel_p75,0.0014718109667636147,random_forest
flow_dy_accel_slope_first_last,0.0014714831003829769,random_forest
flow_mag_max_p25,0.0014693317676262644,random_forest
det_vy_accel_min,0.0014691540294531767,random_forest
roi_area_range,0.0014667100093138272,random_forest
flow_dy_accel_abs_mean,0.001465698358467705,random_forest
det_dx_range,0.0014578923103287641,random_forest
roi_width_time_to_abs_peak,0.001453338502444738,random_forest
flow_mag_max_mean,0.0014425675168813852,random_forest
flow_mag_accel_jerk_peak_to_mean,0.0014402933357548515,random_forest
flow_dy_norm_per_sec_peak_to_mean,0.0014389886009922544,random_forest
flow_mag_std_peak_to_mean,0.001432964476103674,random_forest
flow_mag_max_auc,0.0014273391904898014,random_forest
det_speed_norm_per_sec_mean,0.0014266891574537797,random_forest
det_vy_accel_jerk_min,0.0014190247117738984,random_forest
roi_aspect_p75,0.0014183647125004097,random_forest
flow_dx_mean_per_sec_p75,0.0014152384606892774,random_forest
flow_dy_accel_abs_max,0.0014143868484014896,random_forest
flow_dx_mean_per_sec_p25,0.001398005960390529,random_forest
flow_mag_std_energy,0.0013950374403171016,random_forest
conf_b_energy,0.0013928176596888094,random_forest
det_dy_time_to_abs_peak,0.0013917088005061615,random_forest
flow_mag_mean_slope_first_last,0.0013916154478333556,random_forest
det_speed_p25,0.0013816276689177173,random_forest
conf_a_energy,0.0013779817490175044,random_forest
roi_area_first,0.001374815993443918,random_forest
det_dy_auc,0.0013689677834801154,random_forest
flow_dy_accel_jerk_energy,0.001365631236801064,random_forest
flow_mag_accel_min,0.0013608354516179055,random_forest
flow_mag_median_p25,0.0013596760122680685,random_forest
det_speed_end_mean,0.0013580772103862955,random_forest
det_vx_norm_per_sec_peak_to_mean,0.0013550965026576719,random_forest
flow_dy_norm_per_sec_energy,0.0013550037921157261,random_forest
conf_a_max,0.0013507901530269253,random_forest
det_vy_norm_per_sec_p75,0.0013448093336088313,random_forest
conf_b_max,0.0013393107678790544,random_forest
flow_dy_norm_per_sec_p10,0.001332234133690265,random_forest
conf_a_range,0.0013292912408500142,random_forest
det_speed_end_minus_start,0.0013269833113275448,random_forest
flow_mag_accel_p90,0.0013235340493049604,random_forest
det_vx_norm_per_sec_max,0.0013207184517651492,random_forest
det_speed_range,0.0013176084175276503,random_forest
flow_mag_accel_jerk_delta,0.0013129440008730164,random_forest
det_speed_norm_per_sec_energy,0.0013013684665022748,random_forest
det_vy_accel_first,0.0012999673017826613,random_forest
conf_a_mean,0.0012933036405475887,random_forest
det_vy_accel_abs_mean,0.0012882275440417004,random_forest
det_vy_accel_p90,0.001284549775445512,random_forest
det_vx_norm_per_sec_abs_max,0.0012831067136832477,random_forest
det_dy_abs_mean,0.0012783142197208138,random_forest
det_speed_accel_jerk_p25,0.001278239254984245,random_forest
det_speed_accel_jerk_signed_auc,0.001272504926497797,random_forest
det_speed_accel_range,0.001271996204685655,random_forest
conf_b_range,0.0012714852808058997,random_forest
det_vy_accel_jerk_delta,0.0012703822795782135,random_forest
flow_dx_norm_per_sec_time_to_abs_peak,0.0012565240461443865,random_forest
det_dy_last,0.0012527493222263218,random_forest
flow_dy_mean_per_sec_min,0.001249405376359172,random_forest
det_dx_max,0.001248431716423502,random_forest
roi_height_std,0.0012415483680916835,random_forest
flow_dx_norm_per_sec_auc,0.0012301713567939429,random_forest
flow_mag_median_p75,0.0012240150087330015,random_forest
det_vy_accel_jerk_peak_to_mean,0.0012222962116716532,random_forest
flow_mag_accel_jerk_min,0.0012214878091490525,random_forest
det_dx_time_to_abs_peak,0.0012195830929395714,random_forest
det_vx_norm_per_sec_delta,0.001217821088299177,random_forest
flow_mag_accel_jerk_signed_auc,0.0012163721604707717,random_forest
flow_dx_norm_per_sec_abs_max,0.0012146060844681007,random_forest
conf_a_delta,0.001214571004659186,random_forest
flow_dy_accel_energy,0.0012145056689210683,random_forest
roi_aspect_p90,0.0012126640137758169,random_forest
flow_mag_accel_max,0.0012106752537012302,random_forest
roi_aspect_range,0.0012055862797722891,random_forest
roi_width_abs_max,0.0012036335060453067,random_forest
det_vy_accel_peak_to_mean,0.0011998412998559485,random_forest
det_speed_accel_p25,0.001195508017804379,random_forest
det_speed_accel_jerk_std,0.0011947715492645573,random_forest
conf_b_peak_to_mean,0.0011907379456576382,random_forest
flow_mag_accel_jerk_last,0.0011874915642987472,random_forest
flow_dy_accel_peak_to_mean,0.0011861490998108077,random_forest
flow_mag_norm_per_sec_mean,0.0011859833611187944,random_forest
flow_mag_median_abs_max,0.0011858095201279012,random_forest
flow_dy_norm_per_sec_abs_max,0.001180964228880788,random_forest
det_speed_norm_per_sec_p90,0.0011764384958580113,random_forest
flow_mag_accel_jerk_mean,0.0011660291299031575,random_forest
det_speed_accel_jerk_abs_max,0.0011631893966943677,random_forest
flow_dx_mean_per_sec_p90,0.0011599589526238296,random_forest
det_speed_energy,0.0011550611389829792,random_forest
det_speed_accel_slope_first_last,0.0011548156860059246,random_forest
det_speed_accel_jerk_range,0.0011514753678164137,random_forest
flow_mag_norm_per_sec_slope_first_last,0.0011511316357538895,random_forest
det_vy_norm_per_sec_p25,0.0011502473753556037,random_forest
det_vy_accel_jerk_p10,0.0011459957536531572,random_forest
roi_aspect_last,0.0011445447355964047,random_forest
det_speed_accel_std,0.001142566025642115,random_forest
det_speed_norm_per_sec_abs_max,0.0011381439914694474,random_forest
flow_dx_norm_per_sec_delta,0.0011378774778439847,random_forest
det_speed_norm_per_sec_auc,0.0011350572373651769,random_forest
roi_aspect_abs_mean,0.0011341293868611818,random_forest
roi_area_time_to_abs_peak,0.0011301808768322712,random_forest
flow_max_upward_dy,0.0011299593782910413,random_forest
conf_b_slope_first_last,0.0011247413792168852,random_forest
flow_mag_accel_peak_to_mean,0.0011246962988227544,random_forest
det_speed_accel_last,0.001122483110729949,random_forest
flow_dx_mean_per_sec_time_to_abs_peak,0.0011201648996712523,random_forest
flow_dy_accel_jerk_median,0.0011083843656922799,random_forest
det_speed_accel_jerk_first,0.0011082688064534979,random_forest
roi_height_median,0.0011081458368331334,random_forest
roi_area_max,0.0011033351091985129,random_forest
flow_dy_accel_jerk_abs_max,0.0011003465143950408,random_forest
flow_mag_accel_range,0.0010975596219806993,random_forest
flow_dy_accel_delta,0.0010953731731670456,random_forest
det_vy_accel_jerk_range,0.001092333676213448,random_forest
flow_mag_accel_last,0.0010915512482537494,random_forest
det_dy_abs_max,0.0010881740156475615,random_forest
det_vy_norm_per_sec_abs_max,0.0010875212891157734,random_forest
det_vy_accel_jerk_last,0.0010873319312673325,random_forest
det_vy_accel_last,0.001084656476623841,random_forest
flow_mag_norm_per_sec_delta,0.0010838129718116752,random_forest
det_dx_signed_auc,0.0010831167277178752,random_forest
flow_mag_accel_slope_first_last,0.0010816853862438988,random_forest
det_speed_accel_jerk_slope_first_last,0.0010728496778009482,random_forest
det_speed_accel_jerk_median,0.0010715526576084862,random_forest
flow_dy_accel_jerk_range,0.0010714824617142561,random_forest
det_vy_accel_jerk_p75,0.0010706333201804417,random_forest
det_speed_mean,0.0010685423561118059,random_forest
flow_dy_accel_jerk_last,0.001068307593040075,random_forest
flow_dy_accel_jerk_max,0.0010648396950069259,random_forest
det_speed_abs_mean,0.0010592405107758948,random_forest
flow_mag_accel_jerk_abs_max,0.001054182462167087,random_forest
roi_height_p90,0.0010530660438139562,random_forest
det_speed_norm_per_sec_signed_auc,0.0010455425002004234,random_forest
flow_dy_accel_jerk_time_to_abs_peak,0.00104463502664989,random_forest
flow_mag_accel_jerk_first,0.0010430448951680548,random_forest
conf_a_signed_auc,0.0010425216943485622,random_forest
roi_aspect_slope_first_last,0.0010385522735275516,random_forest
flow_dy_accel_min,0.0010368937875226707,random_forest
flow_dx_norm_per_sec_p75,0.0010264629519928018,random_forest
flow_mag_max_median,0.0010255464747149963,random_forest
det_vy_accel_jerk_abs_max,0.0010230315239897906,random_forest
flow_mag_max_p90,0.0010221996667005692,random_forest
flow_dy_accel_jerk_first,0.0010192277032791688,random_forest
flow_vertical_horizontal_ratio,0.001016017711039193,random_forest
flow_mag_accel_abs_max,0.0010156223785080089,random_forest
flow_mag_max_max,0.0010085161968191492,random_forest
