clip_group,session_name,clip_filename,label,steps,roi_available_rate,both_detected_rate,any_detected_rate,flow_dx_norm_per_sec_mean,flow_dx_norm_per_sec_max,flow_dx_norm_per_sec_min,flow_dx_norm_per_sec_std,flow_dy_norm_per_sec_mean,flow_dy_norm_per_sec_max,flow_dy_norm_per_sec_min,flow_dy_norm_per_sec_std,flow_mag_norm_per_sec_mean,flow_mag_norm_per_sec_max,flow_mag_norm_per_sec_min,flow_mag_norm_per_sec_std,flow_mag_mean_mean,flow_mag_mean_max,flow_mag_mean_min,flow_mag_mean_std,flow_mag_max_mean,flow_mag_max_max,flow_mag_max_min,flow_mag_max_std,det_vx_norm_per_sec_mean,det_vx_norm_per_sec_max,det_vx_norm_per_sec_min,det_vx_norm_per_sec_std,det_vy_norm_per_sec_mean,det_vy_norm_per_sec_max,det_vy_norm_per_sec_min,det_vy_norm_per_sec_std,det_speed_norm_per_sec_mean,det_speed_norm_per_sec_max,det_speed_norm_per_sec_min,det_speed_norm_per_sec_std,det_speed_mean,det_speed_max,det_speed_min,det_speed_std,conf_a_mean,conf_a_max,conf_a_min,conf_a_std,conf_b_mean,conf_b_max,conf_b_min,conf_b_std,max_downward_flow,max_upward_flow,mean_downward_flow,max_downward_det_vy,max_upward_det_vy,mean_downward_det_vy,det_accel_mean,det_accel_max
clips_2__clips/006_severe-crash.mp4,clips_2,clips/006_severe-crash.mp4,severe-crash,14,1.0,1.0,1.0,0.00014433360671059107,0.002234754152595996,-0.0032030006404966125,0.0016817123204087984,0.0006484158410106798,0.005143398212061984,-0.003550060093402863,0.002427825561282024,0.0031259510142263025,0.004789292812347408,0.0008338132756762217,0.0014449276166985873,0.4001217298209667,0.6130294799804688,0.10672809928655624,0.1849507349374192,5.550967727388654,10.699359893798828,0.6565185785293579,3.204587813731327,-0.022042410714285716,0.07031250000000001,-0.08593750000000003,0.04536342729478137,0.058035714285714295,0.27777777777777785,-0.10416666666666667,0.10313258601328988,0.06331342744971116,0.17832362828927079,0.0039062499999999965,0.0526993356823786,8.104118713563027,22.825424421026653,0.5,6.7455149673444605,0.8054154430116925,0.8563613295555115,0.6932242512702942,0.04770526042597934,0.8113365258489337,0.8563613295555115,0.6932242512702942,0.04683823859572356,0.005143398212061984,-0.003550060093402863,0.0019070000357546463,0.27777777777777785,-0.10416666666666667,0.10956790123456792,0.03143264539242071,0.06139384377877583
clips_2__clips/007_severe-crash.mp4,clips_2,clips/007_severe-crash.mp4,severe-crash,14,1.0,1.0,1.0,0.0002604944215168613,0.0041076745837926865,-0.0028801050502806876,0.0018459836228021023,0.0011447863056789158,0.011168944338957472,-0.0007647635518676716,0.0029975043424995272,0.0038028237010751453,0.008985351771116258,0.0005556375836022193,0.0026355570135231307,0.4867614337376186,1.1501250267028809,0.07112161070108414,0.33735129773096073,6.709413238934109,17.760692596435547,0.710335910320282,4.724867195457688,0.016183035714285716,0.09765625,-0.058593750000000014,0.05108905288504509,0.10714285714285718,0.6944444444444446,0.0,0.20544136434837285,0.08458600890496741,0.39499508625306035,0.0,0.11159243933748651,10.827009139835827,50.55937104039171,0.0,14.283832235198272,0.8256813841206687,0.8862735033035278,0.7935968041419983,0.027613049282395098,0.8203176643167224,0.8686001300811768,0.7935968041419983,0.0215697747819517,0.011168944338957472,-0.0007647635518676716,0.0019442525515864595,0.6944444444444446,0.0,0.16666666666666669,0.053504715676945085,0.32371271285112807
clips_2__clips/008_land.mp4,clips_2,clips/008_land.mp4,land,14,1.0,1.0,1.0,0.0011700581163885157,0.008094937540590763,-0.0026790313422679892,0.003244871281287773,0.0002394398177293913,0.004993466453419792,-0.0013466710224747658,0.0015567351047421428,0.002812219016569933,0.008945480920374393,0.0003751154290512201,0.003065566798331033,0.3599640341209514,1.1450215578079224,0.04801477491855621,0.39239255018637215,3.539972350001335,10.712007522583008,0.3085804879665375,4.046294138484107,0.022600446428571428,0.0859375,-0.003906250000000005,0.032652517910064786,0.022321428571428572,0.13888888888888892,-0.013888888888888888,0.047349201718774915,0.030626851948926757,0.09536371574791956,0.0,0.03853882029116805,3.920237049462625,12.206555615733702,0.0,4.93296899726951,0.8319236891610282,0.8486329913139343,0.8139315247535706,0.010929100272887574,0.8321982749870845,0.8486329913139343,0.8139315247535706,0.01103003334106233,0.004993466453419792,-0.0013466710224747658,0.0011606685510496535,0.13888888888888892,-0.013888888888888888,0.056712962962962965,0.01532386130016786,0.08983944401989966
clips_2__clips/009_severe-crash.mp4,clips_2,clips/009_severe-crash.mp4,severe-crash,14,1.0,1.0,1.0,0.0003494042438043315,0.002489526057615876,-0.0006169160478748376,0.0008970072039129686,-0.0005518304237667177,0.0013196367977394,-0.005294456664058898,0.001785486740888098,0.00220684586383868,0.005479293875396252,0.0003459768195170906,0.0014719451260396996,0.28247627057135105,0.7013496160507202,0.04428503289818764,0.18840897613308155,3.8164794743061066,7.242826461791992,0.5192367434501648,2.3366557520817217,-0.03264508928571428,0.11328125,-0.25781250000000006,0.1042948733833735,-0.049603174603174593,0.1805555555555556,-0.2847222222222223,0.12425159212980526,0.09633067326921095,0.27709606017137817,0.0,0.08806194010645611,12.330326178459002,35.4682957019364,0.0,11.271928333626382,0.7930908841746194,0.8323379158973694,0.7045848369598389,0.03185513068962678,0.790669356073652,0.8293639421463013,0.7045848369598389,0.02986880896825198,0.0013196367977394,-0.005294456664058898,0.00038884014550906925,0.1805555555555556,-0.2847222222222223,0.13194444444444448,0.038249669434946974,0.12320765701831402
clips_2__clips/010_severe-crash.mp4,clips_2,clips/010_severe-crash.mp4,severe-crash,14,0.9285714285714286,0.6428571428571429,0.9285714285714286,-0.0009910653939836514,0.009119098074734213,-0.0074596405029296806,0.004303147165276351,-0.015890666864819762,0.005818368246157964,-0.11131689283582889,0.04029209071903284,0.014486626256257292,0.06843834370374674,0.0,0.022872721034714792,1.8542881608009338,8.76010799407959,0.0,2.9277082924434943,20.990521703447616,85.74254608154297,0.0,25.68801724577412,-0.07059151785714284,0.0039062499999999965,-0.40234374999999983,0.12932409955613244,0.057539682539682536,0.5902777777777776,-0.2152777777777778,0.1948528329516745,0.09393326254594357,0.5216562509360209,0.0,0.16040685337212657,12.023457605880777,66.7720001198107,0.0,20.532077231632208,0.6176095008850098,0.8394536375999451,0.0,0.3373108256217561,0.6190709684576307,0.8394536375999451,0.0,0.3381376903923087,0.005818368246157964,-0.11131689283582889,0.0019701234660007894,0.5902777777777776,-0.2152777777777778,0.3703703703703704,0.10622718711903288,0.5216562509360209
clips_2__clips/012_minor-crash.mp4,clips_2,clips/012_minor-crash.mp4,minor-crash,14,1.0,0.8571428571428571,1.0,-0.00013900593538502442,0.0049012340605259,-0.0034694960340857514,0.0017802353308162002,-0.0061841120468526444,0.01423867377969954,-0.06319320201873774,0.01911905017398672,0.010191162565856105,0.04484753310680385,0.0029285168275237083,0.0112869476464545,1.3044688084295817,5.740484237670898,0.37485015392303467,1.444729298746177,27.52202664102827,218.7202606201172,5.086981296539307,55.61162574282339,-0.10044642857142858,0.00781250000000001,-0.19531250000000006,0.08019242504339583,0.09375,0.5069444444444445,-0.32638888888888895,0.27533312616832367,0.16702059276257247,0.3456313926284945,0.0,0.1193137435213539,21.378635873609277,44.24081825644729,0.0,15.2721591707333,0.7541101276874542,0.8501036167144775,0.0,0.2196146453801582,0.7501787926469531,0.8501036167144775,0.0,0.21852602955720307,0.01423867377969954,-0.06319320201873774,0.0057876593097009625,0.5069444444444445,-0.32638888888888895,0.3174603174603175,0.06001429520066016,0.21666597060334467
clips_2__clips/013_severe-crash.mp4,clips_2,clips/013_severe-crash.mp4,severe-crash,14,1.0,1.0,1.0,-0.0002450901602709825,0.0014086090959608542,-0.0030474672093987465,0.0010733781559504323,0.00018048903138916358,0.0035631193055046927,-0.002938238489958975,0.0013935991612433634,0.002419334532792813,0.006553248502314091,0.0002562108275014905,0.0018561507876421947,0.30967482019748005,0.8388158082962036,0.03279498592019081,0.23758730081820092,5.213051932198661,10.363134384155273,0.4092126488685608,3.6050547391306873,0.012276785714285726,0.16015624999999994,-0.16015624999999986,0.1043876790556876,0.06894841269841272,0.4097222222222223,-0.24305555555555555,0.157758371962195,0.11311961883633717,0.2551053416758703,0.0,0.08229963125160059,14.479311211051156,32.65348373451139,0.0,10.534352800204873,0.7753560670784542,0.8363192081451416,0.6319530606269836,0.05424776524851767,0.7741148599556514,0.8363192081451416,0.6319530606269836,0.053318026787228925,0.0035631193055046927,-0.002938238489958975,0.0009817897031704585,0.4097222222222223,-0.24305555555555555,0.15625000000000003,0.033572548622972424,0.08041253093369918
clips_2__clips/014_severe-crash.mp4,clips_2,clips/014_severe-crash.mp4,severe-crash,14,0.8571428571428571,0.6428571428571429,0.8571428571428571,-0.00013712371401197745,0.0013985077384859328,-0.0015196359017863874,0.0007503289746240941,8.742267700365626e-05,0.0026838884999354686,-0.006705116894510055,0.002197903184200565,0.0023533168257147603,0.009155260398983952,0.0,0.002533187333961103,0.30122455369148937,1.1718733310699463,0.0,0.3242479787470212,4.105917191931179,14.982536315917969,0.0,4.510191503886986,0.024274553571428572,0.10937500000000003,0.0,0.04123122055509945,0.027281746031746042,0.44444444444444453,-0.08333333333333326,0.12415025410999876,0.038228655620857026,0.27287889369645285,0.0,0.0767542917313758,4.893267919469699,34.92849839314596,0.0,9.8245493416161,0.5730622283049992,0.8423526287078857,0.0,0.3824458142508836,0.6322027572563717,0.8423526287078857,0.0,0.34962092794559,0.0026838884999354686,-0.006705116894510055,0.0012314262229853148,0.44444444444444453,-0.08333333333333326,0.1712962962962963,0.04277687649878585,0.2065876329602141
clips_2__clips/015_takeoff.mp4,clips_2,clips/015_takeoff.mp4,takeoff,14,1.0,1.0,1.0,0.0013181718547587353,0.005542941391468043,-0.0013906384119763975,0.0019441034355940955,-0.00040128620879379036,0.0019913760738240376,-0.0021816852192084,0.001016304326580971,0.0029709074962218965,0.0060839136131107755,0.0006739906966686251,0.001469192391796929,0.38027615951640265,0.7787409424781799,0.08627080917358398,0.18805662615000696,4.915228656360081,8.106005668640137,1.0072853565216064,2.6484973896251858,0.0011160714285714157,0.07031249999999993,-0.10937500000000015,0.05546385261231207,-0.10416666666666667,0.013888888888888892,-0.37500000000000006,0.14021799944878938,0.08192611529644543,0.21892431670628215,0.00390625,0.0759447548976681,10.486542757945013,28.02231253840411,0.5,9.720928626901516,0.8053263255528041,0.8456270694732666,0.7347539067268372,0.036586656439309806,0.8055158683231899,0.8456270694732666,0.7347539067268372,0.036690639974554934,0.0019913760738240376,-0.0021816852192084,0.0008186654088570296,0.013888888888888892,-0.37500000000000006,0.013888888888888892,0.023769385217732586,0.10012036103639502
clips_2__clips/016_severe-crash.mp4,clips_2,clips/016_severe-crash.mp4,severe-crash,14,1.0,1.0,1.0,-3.4176802208609494e-06,0.002005141926929355,-0.002716354094445703,0.0012216225566719647,0.0009040540822673115,0.0064415761993991015,-0.0026541553023788672,0.002209138979279484,0.003153595150381859,0.005187144037336106,0.001010753680020572,0.0012053892253760146,0.4036601792488779,0.6639544367790222,0.12937647104263306,0.15428982084812998,6.759856053761074,10.363321304321289,2.151071071624756,2.1317055887031997,0.030691964285714277,0.1953125,-0.10937500000000015,0.09797253041192687,-0.020833333333333405,0.9861111111111102,-0.6041666666666666,0.42808430576173434,0.19680551729846948,0.5547425148773975,0.008734640537108564,0.16441574762329364,25.191106214204094,71.00704190430693,1.118033988749895,21.045215695781593,0.8127996793815068,0.8574299216270447,0.725831151008606,0.03271118693210432,0.8121137831892286,0.8574299216270447,0.725831151008606,0.032655314953841164,0.0064415761993991015,-0.0026541553023788672,0.0016396828959437293,0.9861111111111102,-0.6041666666666666,0.2191358024691357,0.10430100337403549,0.451614555639553
clips_3__clips/001_minor-crash.mp4,clips_3,clips/001_minor-crash.mp4,minor-crash,14,0.7857142857142857,0.5714285714285714,0.7857142857142857,-0.003367072263949001,0.0053494200110435555,-0.01062543131411077,0.003986020875982906,-0.002030625761381457,0.005908739161530934,-0.0227030201090707,0.007881819639433336,0.006478410751003491,0.01700449362397196,0.0,0.005282614562474469,0.8298741451331547,2.176575183868408,0.0,0.676284655130649,4.062692216464451,11.490994453430176,0.0,2.9540100547715964,0.027340973702914002,0.11718750000000008,-0.01943407960199004,0.04321939584470088,0.06633005606886205,0.5416666666666669,-0.11111111111111119,0.19958711231914675,0.0798740686559843,0.3049127772951021,0.0,0.09952656836151591,10.236571056377082,39.02883549377306,0.0,12.758033915653069,0.48475793429783415,0.8694180846214294,0.0,0.38302837477204055,0.5185693715299878,0.8694180846214294,0.0,0.3569501404200217,0.005908739161530934,-0.0227030201090707,0.002496385259961533,0.5416666666666669,-0.11111111111111119,0.4159526441864751,0.0467509642936161,0.3049127772951021
clips_3__clips/002_minor-crash.mp4,clips_3,clips/002_minor-crash.mp4,minor-crash,14,0.5,0.2857142857142857,0.5,-0.0017386618277961357,0.0009502698085270834,-0.0112951723858714,0.0033067350047965814,-0.0005485210374077966,0.011711229880650828,-0.014311159650484724,0.00715064841732017,0.009274255464153992,0.026238799095153788,0.0,0.010218905389958725,1.1878185868263245,3.3585662841796875,0.0,1.3084996611774071,6.1024352482387,16.852279663085938,0.0,6.5488250531982715,-0.03650414223525233,0.0,-0.20703125000000006,0.07332700592050696,0.0058684750848929535,0.34027777777777785,-0.3611111111111116,0.1564786829165698,0.06156052416514022,0.2635778188724588,0.0,0.10241981134031816,7.888290671872961,33.737960815674676,0.0,13.121028875770927,0.2761067748069763,0.8457646369934082,0.0,0.3921624456618838,0.3372738744531359,0.8563393950462341,0.0,0.4120626478345354,0.011711229880650828,-0.014311159650484724,0.008868291579366762,0.34027777777777785,-0.3611111111111116,0.2876071033720287,0.038304734226906334,0.2635778188724588
clips_3__clips/003_severe-crash.mp4,clips_3,clips/003_severe-crash.mp4,severe-crash,14,0.8571428571428571,0.7142857142857143,0.8571428571428571,4.4169563386561575e-05,0.006374674849212178,-0.004668605620439967,0.004005659032887281,-0.0005910031441288769,0.011711229880650847,-0.014239959851228582,0.007465567896867043,0.01418228452699557,0.02325296401977541,0.0,0.006757778043039682,1.817521231515067,2.97637939453125,0.0,0.8658304503093167,12.41114970615932,26.521564483642578,0.0,7.082693784611394,-0.04398487473347546,0.058593750000000076,-0.20600124378109458,0.08124385609376399,0.0004121258785438025,0.3819444444444449,-0.36111111111111094,0.24826892714516618,0.13079439421819358,0.26357781887245835,0.0,0.09881032128077909,16.76169054558657,33.737960815674676,0.0,12.667008088112238,0.636842165674482,0.8738424777984619,0.0,0.3556262062878978,0.6395874278885978,0.8799126744270325,0.0,0.3574709787185031,0.011711229880650847,-0.014239959851228582,0.005559383433326594,0.3819444444444449,-0.36111111111111094,0.33113944168048653,0.05891798782032061,0.26357781887245835
clips_3__clips/004_takeoff.mp4,clips_3,clips/004_takeoff.mp4,takeoff,14,1.0,1.0,1.0,-0.0014213083369564565,0.000995925976894795,-0.0034601364750415134,0.00129595222455848,0.00758987415507218,0.028003219101164052,-0.0070265283187230364,0.008265560007822678,0.007376208372530611,0.016307596117258058,0.0032768743112683322,0.004200963600052189,0.9453038360391345,2.087372303009033,0.4194399118423462,0.5385892368401326,5.952391982078552,10.270264625549316,2.982696771621704,2.3226988901826826,-0.01617193052594172,0.007773631840796022,-0.039062499999999965,0.012792759853539408,-0.014389856274184641,0.09722222222222224,-0.229166666666667,0.09679216012402235,0.04782767643704306,0.13264005348710678,0.014084184669781211,0.031886304023030436,6.1290644615995875,16.977926846349646,1.8027756377319946,4.084058723658623,0.8522639615195138,0.8778883814811707,0.8256787657737732,0.012879101758572924,0.8523537048271724,0.8778883814811707,0.8256787657737732,0.012810077030473477,0.028003219101164052,-0.0070265283187230364,0.009610948827349695,0.09722222222222224,-0.229166666666667,0.05460112631288004,0.019090040118013966,0.05757316948590979
